,FP,Tweet
113,neutral,We do this seemingly every 2 months
100,positive,"That's amazing \u2764"""
52,neutral,_Regulated_ A member of our well regulated militia
82,neutral,"So JCPenney might go to Chapter 11 or 7 bankruptcy protection this is a big sign that JCPenney's might be going out of business"""
80,positive,Guess I won't be getting new boots from this year after all They got lost in transit
200,positive,Rago Tear Drop Panel Removable Foam Light Control Padded Panties #jcpenney #soworthit
42,negative,_online NYC VIBE spent the afternoon shopping at JCPenney in Herald Square with Grammy nominated artist and ac\u2026 
216,positive,So good I had to share Check out all the items I'm loving on #poshmark #fashion #style #shopmycloset
175,positive,Rago Tear Drop Panel Removable Foam Light Control Padded Panties 
38,neutral,NYC VIBE joined as he teamed up with to spread holiday cheer by helping kids from across the U.\u2026 
28,neutral,"My coworkers just said I dress like a Cambodian mom working at a garden \ud83e\udd37\ud83c\udffb\u200d\u2642\ufe0f I said they look like JCPenney ads from 1998."""
209,neutral,They sell Tory Burch shoes at #JCPenney? #theperfectcouple
36,neutral,Kenny Stills
3,neutral,I bet once i go in JCpenny
120,positive,"The best!!"""
110,neutral,"Annual Pearce Family portrait day at Wish me luck."""
297,neutral,JCPenney Home Plaza Embroidery Grommet-Top Tailored Valance #jcpenney #soworthit
148,neutral,"Thanos is that you !?!"""
272,positive,Check out 4 JC Penney Home Valances Rod Pocket Back Tab Burnt Henna 50 x 18 NEW in pkg
220,positive,Check out VINTAGE HOME TOWNE EXPRESS JCPENNEY 18 TRAIN TRACKS CHRISTMAS 1998 NEW IN BOX #JCPENNEY via
213,positive,SWEET DEAL Love Lives Forever 1/2 CT T.W Round White Diamond 10K Gold 3-Stone Ring #jcpenney #soworthit
136,positive,"Clean"""
114,positive,BONUS CASH EVENT Shopping at Old Navy online Macy's or JCPenney Why not click to 
301,neutral,"$25 &amp Under Sale at JCPenney Up to 90 off 2,700 Items Extra 25%-30 off #jcpenney"
135,positive,"Clean up nicely Shaq \ud83d\udc4d\ud83e\udd19"""
88,positive,"You look gorgeous isabela"""
212,neutral,Have sent several responses as you suggested Haven’t even been read! #jcpenney
161,neutral,Check out 3 EURO Pillow Shams Blue Brown Scroll Design King Queen Bedroom JCPenney Home #JCPHome\u2026 
190,neutral,"Brother you should see us tryin to do portrait days \ud83d\ude02\ud83c\udf7b"""
60,neutral,Santa Kelce Chiefs\u2019 Travis Kelce shops with YMCA kids at JCPenney holiday event 
96,positive,"Family Photo! Teaming up with to surprise kids from the NYC has been a major highlight for me already this h\u2026"""
145,positive,Hey that\u2019s a really nice look Shaq Great pic
180,positive,"Great picture Joe You are such a caring person \u2764\ufe0f"""
295,neutral,Yay It’s December ??? #oliviaannlott #jcpenney #photoshoot
266,negative,NYC VIBE spent the afternoon shopping at in Herald Square with Grammy nominated artist and actor
129,positive,"Shaq does that fact your bigger then a Ferris wheel prove your still growing thanks"""
43,neutral,now it\u2019s Nate from JCPenney bitchs 
261,neutral,#MickeyMouse #JCPenney #Snowglobe 2013 $11 Shipped Priority #santamickey
167,positive,"nice"""
155,neutral,at countryside clearwater
133,negative,Wow Last night I was watching late night TV You are the commercial KING of late night One after\u2026 
204,neutral,#NYCVIBE joined Joe Jonas as he teamed up with #JCPenney to spread holiday cheer See our coverage.
189,neutral,"Brother you should see us tryin to do portrait days \ud83d\ude02\ud83c\udf7b"""
51,neutral,I bought a comforter from After a week
102,negative,not very cool of you to cancel my order because YOU messed up with inventory.. won\u2019t get my business aga\u2026 
185,neutral,Holiday Sale at JCPenney Save Up to 70 off Extra 20 25 off Today Only #jcpenney 
262,positive,On this coming #Christmas #JCPenney has all what you need to gift your loved ones The shop is offering 60 off ev
50,neutral,You can return the items to any JCPenney retail store at the .com customer service desk Just them\u2026 
278,neutral,When you try to avoid some of the shopping stress by ordering gifts online and #JCPenney messes up 3 of the 6 thing
111,positive,"Keep being your kind self"""
196,positive,". bringing the holiday cheer to Denver Bradley Chubb teamed up with to take a deserving group kids o\u2026"""
243,neutral,Holiday Sale at JCPenney Up to 70 off Extra 25 to 30 off Today Only #jcpenney
134,positive,"bro where they make all that matieal looks good"""
242,neutral,Plywood Christmas Tree Prop as Staging via #FixturesCloseUp
151,positive,Don't know what to ask for Christmas Ask for a JCPenney gift card for this exciting event UNC Charlotte students\u2026 
277,neutral,JC Penney Electric Wok #Etsy #Vintage #Cooking #JCPenney #Electric #Wok
232,neutral,Give the gift of #lionelrichiehome for the holidays ? #shopnow #tistheseason #JCPenney
193,positive,\ud83c\udf84GIVEAWAY TIME\ud83c\udf84\n\nCreated my very own holiday wishlist at Sephora inside And you can too I\u2019m giving away\u2026 
86,positive,\ud83c\udf89 110 Grill Grand Opening \ud83c\udf89\n\ud83d\udcc6 December 13\n\u23f0 400 pm\n\ud83d\udccd Located on the Upper Level near JCPenney\n#holyokemall\u2026 
104,neutral,McCain Mall will be hosting the Salvation Army Angel Tree this year on the upper level next to JCPenney The Angel\u2026 
169,neutral,Today
18,positive,A Dreambuilders thank you to playmaker David Moore &amp the beautiful for teaming up with us and\u2026 
164,neutral,"order #2018-3385-1110-0810"""
163,positive,"Good Afternoon That\""s a nice picture of you and kids.\ud83d\ude0e"""
8,positive,So awesome to build dreams in LA last night with and our great friend
176,positive,Looking good Shaq
152,neutral,Tonight
77,neutral,Thank you and of the for giving our Y kids at Wyatt Academy and Garden Place Elementa\u2026 
39,positive,Joe Jonas kicked off #JCPenney\u2019s Giving Spree event by surprising twenty-five kids from the NYC Metro #YMCAs with a\u2026 
207,positive,A Dreambuilders thank you to playmaker David Moore &amp the beautiful for teaming up with us and
201,neutral,While playing with investment $ I considered playing with junk stocks however advised me
1,positive,SWEET DEAL Love Lives Forever 1\/2 CT T.W Round White Diamond 10K Gold 3-Stone Ring 
61,positive,I liked a video 
103,positive,Make it a GREAT Christmas
62,neutral,. star shopping with kids tonight at in Independence 
269,negative,#JCPenney Boots $15.99 &amp Up (Usually $60 $80!
15,positive,Ronni Nicole Sleeveless Fit 
270,neutral,Vintage Teddy nylon Beige Lace bodysuit lace slip eBay #jcpenney #vintage #vintageteddy #vintagelingerie #teddy
13,positive,"A Classy Gentleman \u2764\ufe0f\ud83c\udfc8\u2764\ufe0f"""
69,neutral,_Mosby now it\u2019s Nate from JCPenney bitchs 
2,neutral,"\""The country has recorded 90 extinctions since European settlement\u201436 plants"
44,neutral,NYC VIBE joined Joe Jonas at JCPenney as he posed for pictures with fans.\u2026 
173,positive,"Looking good big fella!"""
144,positive,"Looking good Ready for the business of the day \ud83d\udc4d\ud83d\udc4d\ud83d\udc4d\ud83d\udc4d\ud83d\udc4d\ud83d\udc4d"""
112,neutral,Santa Kelce Chiefs\u2019 Travis Kelce shops with YMCA kids at JCPenney holiday event #KansasCityChiefs 
46,neutral,. is spot on Tis\u2019 the season for gifting out luggage COLLECTION by MICHAEL STRAHAN Slate Hardside Spinner L\u2026 
97,neutral,"joejonas COME TO MY JCPENNEY IN LOUISVILLE AT JEFFERSON MALL PLEASE I WORK THERE OMG"""
32,positive,Best part of the holiday season? Giving back \ud83e\udd17 \n\nThis year 's Giving Sprees are set to reach 1
172,neutral,"Literally why wasn\u2019t I there?!"""
37,positive,Be sure to check out all my last minute Christmas shopping
101,negative,"WHY DOES SHIT LIKE THIS HAPPEN AFTER I QUIT JCPENNEY"""
179,negative,Your customer service experience needs some work I had to reorder part of my black friday order because\u2026 
5,negative,Worst place to shop online at is _us always saying item is back in stock &amp go to order it and says\u2026 
239,neutral,North Pole Trading Co Velvet Plus Throw $9.74 (Save $17.26! #jcpenney
166,neutral,1 Adjusted for inflation
55,positive,Even as the clocks change the qualities of a successful person remain the same You have integrity
182,negative,Shopping Sharper Image Gaming Chair $39.99 at JCPenney on Black Friday 
203,negative,_online NYC VIBE spent the afternoon shopping at JCPenney in Herald Square with Grammy nominated artist and ac
19,neutral,Last year I bought some fab things from JCPenney I gotta see what they have for this year so I can save some money\u2026 
83,positive,Hey When I ordered my mom her coat it was in stock yet when it\u2019s ready to ship you cancel my order sa\u2026 
131,neutral,"when shaq is taller then your citys ferris wheel"""
170,negative,"Could be a really small Ferris wheel and shaq is actually shrinking"""
183,negative,"sent you a direct message with information about wrong item received"""
293,neutral,Spiderman #hangingout #jcpenney in the #westfieldbroward #westfieldbrowardmall #mall
195,positive,"Love you so much girl Thanks for being so generous!"""
4,positive,\ud83c\udf811998 JCPenney Holiday Catalog\n\u2014 Spice Girls Sound Stage 
137,neutral,"Waiting for that depends ad."""
298,negative,I need the hookup Shaq because I am a teacher and big and tall clothes are super expensive and any little bit helps #SeasonOfShaq #jcpenney
254,neutral,Thank you JC Penney for $100 gift cards for our scholars #DallasISD #ACEDallasISD #JCPENNEY
302,positive,Looking for great deals and more #JCPenney has all that and more Get that early #Christmas #shopping done Click t
273,negative,$17.99 (was $45 Champion Long Sleeve Fleece Hoodie
147,positive,If I don't leave with an outfit that looks like it was made for young man who isn't very masculine did I even go to\u2026 
168,neutral,"me shopping gives me anxiety \n\nalso me goes to jcpenney"""
30,neutral,walked in and walked out
29,neutral,"Tonight Travis Kelce went shopping with 25 kids for a JCPenney Giving Spree event Each child got a gift card to shop for\u2026"""
125,positive,"How many spools of thread does it take?"""
157,neutral,JCPenney Giving Spree events continue across the country Yesterday
48,positive,"Joe Jonas kicked off #JCPenney\u2019s Giving Spree event by surprising twenty-five kids from the NYC Metro #YMCAs with a once-in\u2026"""
296,neutral,"#SeasonOfShaq,#promo"
211,neutral,Get holiday-ready with the must-have trends of the moment #jcpenney #ad
260,neutral,#JCPenney
89,neutral,"Hi Nicole You can visit your local JCPenney store on 12\/13-12\/15 when doors open to get one of these coupons."""
227,positive,Hot dating wait you -&gt;&gt;&gt
300,positive,Because clothes don’t fit right like big guys like us!!! #pantsinpactcular #jcpenney #shaq
115,positive,"lol why can i never figure out how to quit from my jobs first jcpenney and now michael\u2019s \ud83d\ude44 can companies please make it easier to quit?"""
121,negative,"looking sharp Shaq!"""
194,positive,"\ud83c\udf84GIVEAWAY TIME\ud83c\udf84\n\nCreated my very own holiday wishlist at Sephora inside And you can too I\u2019m giving away a $5\u2026"""
214,positive,#traviskelce s/o good job with the kids Christmas shopping at #jcpenney
205,positive,Joe Jonas kicked off #JCPenney’s Giving Spree event by surprising twenty-five kids from the NYC Metro #YMCAs with a
305,neutral,"Holiday Home Sale at JCPenney Up to 50 off 157,000 Items 25 30 off #jcpenney"
14,positive,your customer service representative was very demeaning to me and grossly unhelpful I am very sa\u2026 
20,neutral,#JCPenney\nPre-Holiday Price Drop Up To 70 OFF Select Styles 30 OFF Toys Shop and Save at JCPenney click here \n
67,neutral,I'm at in Youngstown
188,neutral,"is this the manhattan mall jcpenney that\u2019s literally a basement"""
9,neutral,Hello Tyrese
149,positive,"We always appreciate having our friends here for fun activities with our kids and serving as positive role mo\u2026"""
215,negative,JC Penney Advertising Store Memorabilia Art J.C Penney Collectible via #ebay
271,neutral,Props to #JCPenney for this 2 dad family pajama ad!
280,neutral,#JCPenney $16.99 #Disney #MickeyMouse 90th Anniversary Toaster (ad #Disneyland
73,positive,Holiday parties the perfect time to play up your makeup \u2728 Use Anastasia Beverly Hills\u2019 Loose Glitter to add high-\u2026 
6,neutral,JCPenney Toy Book Deals List Is Ready!\n\n
162,negative,Terrible experience with Ordered two lovely 30 inch luggage
275,neutral,Holiday Sale at JCPenney Save Up to 70 off Take an Extra 20 to 25 off #jcpenney
244,positive,Let the holiday parties begin ? I love family and friend gatherings ? Wearing this little gold number from
224,positive,JC Penney Laminated Fabric Valance 170 x 16 Burnt Orange 3 Available #JCPenney ENDS SOON via
267,negative,If you haven’t been into a JC Penney’s store lately you should go Can only speak for the store near me (west coas
27,positive,Hey #Brooklyn are going back to their favorite shopping center
286,positive,1 CT T.W Genuine White Diamond Sterling Silver 2-pc Jewelry Set #jcpenney #soworthit
236,negative,Hard-working stylist stunned when Secret Santa surprises her with a car #jcpenney #secretsanta
128,neutral,"Dang shaq You taller than that Ferris wheel"""
233,negative,What is up with JC Penney Three orders three screw ups and Customer Service is horrible I hate seeing a great
231,positive,Liz Claiborne Short Sleeve Smock Neck Top Tall #jcpenney #soworthit
146,positive,I have always thought you a classy guy
85,neutral,En JCPenney (McAllen
160,neutral,When you bring the niece to and she is shopping for everyone but herself She got something for her Mama\u2026 
259,neutral,Shout out JCPenney Communities Foundation for their generous donation to #gotrdfw to help bridge the gap f
294,neutral,Check out NWT Men's i jeans by Buffalo Ladie Mockneck Acrylic Wool XL Sweater JC Penney #Mockneck
156,neutral,JCPenney Credit Card Features How to Apply How to\u00a0Login 
49,positive,Why would staff there watch department with somebody who isn\u2019t comfortable taking links out of watch band\u2026 
99,neutral,"Cut your hair thank you"""
107,positive,"There is nothing better than loving on kids great job and continue the love"""
154,positive,This look is on our nice list \u2705 
84,negative,Whats wrong with this item that we purchased 
251,neutral,Part 2 Yesterday after that I saw this #Holiday display outside #JCPenney
249,positive,“Christmas is not just a time for festivity and merry making It is more than that It is a time for the contemplat
16,neutral,I added a video to a playlist 
142,negative,T Keeping my style game \ud83d\udcaf Shaquille O\u2019Neal XLG line exclusively at #AllAtJCP #Ad 
92,neutral,_183 Hello Mac
81,neutral,"can you pls support our robotics team our email is hhsrobopanthers2262 .com"""
247,neutral,Check out MCS-Model 3542-Stereo Cassette Deck Vintage WOODGRAIN For PARTS OR REPAIR #JCPenney via
258,negative,JCPs sucks They sent wrong items but told right ones were on the way JCP wouldn't resend until 12/7 if they did
153,positive,"Bought my wife a beautiful diamond ring at Penney\u2019s a few years ago and she still gets compliments for it\ud83d\udc4d"""
174,negative,very disappointed in my online ordering experience with you Placed an order to be picked up at a store\u2026 
106,neutral,It's time for holiday photos with Santa He'll be waiting for you at JCPenney Court \ud83c\udf85\ud83c\udffb To reserve your FastPass an\u2026 
248,negative,A touch of green to get into the holiday spirit ??? Get yours in time for Christmas #homefortheholidays #JCPenney
140,neutral,\u2026 
118,negative,Keeping my style game \ud83d\udcaf Shaquille O\u2019Neal XLG line exclusively at #AllAtJCP #Ad 
40,positive,Happy holidays from me and my friend\u2019s dog
223,neutral,do not buy Faux fur (its not do not buy wool Please have compassion watch video below #Animalabuse #Forever21
0,neutral,"Got ours from JCPenny!"""
124,neutral,"Shaq I am begging you Get my dad out of prison"""
68,negative,"So annoying when you buy something online from six days ago and the same item is now $20 cheaper \ud83d\ude20"""
90,positive,employees are ringing the bell for We are proud of our dedicated volunteers at \u2026 
12,positive,". and teamed up to surprise 25 kids from YMCA of Greater Kansas City with a special visit and shopping s\u2026"""
287,positive,When you live over 6 hours apart Christmas gifts for nieces and nephews are shipped Well #UPS delivered this tod
57,neutral,Discover Peyton &amp Parker\u2014a celebration of family through curated
11,positive,A congregation that pays a pastor a JCPenney wage but expects his family to live like they shop at Anthroplogie has\u2026 
58,neutral,CHRISTMAS SHOPPING FOR FRIENDS &amp FAMILY SEPHORA INSIDE JCPENNEY GIVEAWAY 
24,positive,"Oh look Bret 49 feel free to block"""
264,neutral,When I was a kid the playing of this album signaled the holidays had arrived #christmas #thatchristmasfeeling
23,positive,This look is on our nice list \u2705 #JCPenney #inTheAustintownPlaza 
94,negative,Star Wars Ugly Christmas Sweaters on sale at !! Yes I certainly did buy BB8 AND it makes noise!!!\u2026 
191,neutral,"SO I can tweet you but NOT email \ud83e\udd14Can someone please cancel\/refund an order I haven't picked up #2018334580526621"""
256,positive,I had a dream #Amazon purchased #JCPenney which is not crazy but the dream also had Amazon owning
265,positive,I’m not saying I’m a perfect logistician but two big SEPARATE boxes for two small containers of hair products seems
71,neutral,Ran to Walmart at lunch to get a hard-to-find Xmas toy for Willie they happened to have in stock Reminded me of th\u2026 
217,neutral,Minky Sleep Pant Womens Plush Pajama Pants #jcpenney #soworthit
31,positive,was the exact same experience Exact Clothes mixed together on racks
198,negative,I just helped this girl pick out a dress amongst a sea of ugly dresses in JCPenney But the feeling I got from watc\u2026 
7,negative,Out of stock (Odd since it\u2019s in stock again now a few hours later) They reached out and had\u2026 
178,positive,B1G2 Free Boots for the Family &amp;#8211 $20 Shipped at JCPenney 
143,neutral,"For a second I thought Shaq was bigger than that Ferris wheel I just wasn\u2019t going to question it"""
222,positive,Boots and Shoes for the Family Buy 1 Pair Get 2 Pairs Free at JCPenney Today #jcpenney
283,neutral,"According to of the #JCPenney has recently renewed its lease at the Bangor Mall ""for mu"
41,neutral,#NYCVIBE joined Joe Jonas as he teamed up with #JCPenney to spread holiday cheer See our coverage \n
306,positive,My Cotton Towel Set is the perfect gift for the entertainer or homemaker in your life ? #JCP #JCPenney
74,neutral,i placed an order on Saturday. received an email the items were back ordered &amp i would receive t\u2026 
274,positive,The weather outside is frightful but this sweater is so delightful ??
70,positive,We are proud to announce our BRAND NEW partnership with to offer our products on 
219,positive,So good I had to share Check out all the items I'm loving on from #poshmark #fashion
285,negative,#Giveaway Time ? Holiday shopping on a budget doesn’t mean foregoing luxurious looking gifts especially when you’
45,positive,~JC Penney Genuine Diamond Jewelry $25\n#thecrazyshoppingcart #jcp #jcpenney #deals #coupons #savings 
250,neutral,I GOT MY $2 CAST IRON SKILLET SET!! via #castiron #skillets #castironskilletset
282,neutral,Women's Lugz Boots ONLY $11.20!
197,positive,People who wear JCPenney clothes think this is BIZARRE and UNWEARABLE clothing 
186,negative,"That Ferris wheel is so small they let mugsy and spud ride on it"""
127,neutral,"chasing that \ud83d\udcb0\ud83d\udcb0\ud83d\udcb0 with all these ads."""
289,neutral,Rule of thumb Never put on a #Walmart hoodie with a #JCPenney suit They sell dress shirts there too.
